COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
MEA MEAN,MIR_GRP,CFK07,339,32,0,0
MIL SPE.,MIR_GRP,CFK07,339,32,0.010937500000000003,0.017777037672141314
MON CAVE,MIR_GRP,CFK07,339,32,0.00125,0.006039095457611297
ORB ANNU,MIR_GRP,CFK07,339,32,0,0
ORB FAVE,MIR_GRP,CFK07,339,32,0.0121875,0.01875353161026461
ORB FRAN,MIR_GRP,CFK07,339,32,0,0
OTH SPE.,MIR_GRP,CFK07,339,32,0,0
PAL SPE.,MIR_GRP,CFK07,339,32,0.03343750000000001,0.030727014279546747
PEY SPE.,MIR_GRP,CFK07,339,32,0.00125,0.006039095457611297
POR ASTR,MIR_GRP,CFK07,339,32,0.011875,0.018514468301963866
POR PORI,MIR_GRP,CFK07,339,32,0.00875,0.01591783939036201
POR SPE.,MIR_GRP,CFK07,339,32,0,0
PSE CLIV,MIR_GRP,CFK07,339,32,0,0
PSE STRI,MIR_GRP,CFK07,339,32,0,0
RAM SPE.,MIR_GRP,CFK07,339,32,0.0034375,0.010003733546447903
RHO CRUS,MIR_GRP,CFK07,339,32,0.0078125,0.01504805543924981
SID RADI,MIR_GRP,CFK07,339,32,0.0015625,0.006750857593330827
SID SIDE,MIR_GRP,CFK07,339,32,0.0084375,0.015633471689957944
SOL BOUR,MIR_GRP,CFK07,339,32,0,0
SOL SPE.,MIR_GRP,CFK07,339,32,0,0
SPO OTHE,MIR_GRP,CFK07,339,32,0.020000000000000004,0.023928557986946593
STE INTE,MIR_GRP,CFK07,339,32,0.0031249999999999997,0.00953968105433417
TUR FREE,MIR_GRP,CFK07,339,32,0.33749999999999997,0.08081990239349873
TUR SEDI,MIR_GRP,CFK07,339,32,0.1375,0.05885988275461925
ACR CERV,NCRMP_GRP,CFK01,4718,10,0,0
ACR PALM,NCRMP_GRP,CFK01,4718,10,0,0
AGA AGAR,NCRMP_GRP,CFK01,4718,10,0,0
AGA HUMI,NCRMP_GRP,CFK01,4718,10,0,0
AGA LAMA,NCRMP_GRP,CFK01,4718,10,0,0
AGA SPE.,NCRMP_GRP,CFK01,4718,10,0,0
BAR SUB.,NCRMP_GRP,CFK01,4718,10,0.29300000000000004,0.15155194735289831
CLI SPE.,NCRMP_GRP,CFK01,4718,10,0,0
COL NATA,NCRMP_GRP,CFK01,4718,10,0,0
CYA SPE.,NCRMP_GRP,CFK01,4718,10,0.009,0.031446773025236165
DIC SPE.,NCRMP_GRP,CFK01,4718,10,0.013000000000000001,0.037717965295514425
DIC STOK,NCRMP_GRP,CFK01,4718,10,0,0
DIP LABY,NCRMP_GRP,CFK01,4718,10,0,0
