REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,MEAN_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
FLK,1432,1,2022,8,1,SPGR_MR,CS11,NA,NA,0.190666667,24.84953,-80.61675,3365231,Mid-Upper Keys Transition,10,Forereef,4,Alligator,12,NA,1,CD2,7.315199766,7.924799746,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1454,1,2022,8,3,ISOL_HR,CS15,NA,NA,0.366666667,25.22483,-80.20612,3852600,Upper Keys,11,Forereef,4,Carysfort,1,NA,1,CD3,10.97279965,11.27759964,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1464,1,2022,8,5,CONT_MR,CS15,NA,NA,0.378,25.01428,-80.36797,3614286,Upper Keys,11,Forereef,4,Molasses,6,NA,1,CD3,10.36319967,11.58239963,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1467,1,2022,8,1,SPGR_HR,CS15,NA,NA,0.351333333,24.8429,-80.62317,3350698,Mid-Upper Keys Transition,10,Forereef,4,Alligator,12,NA,1,CD3,14.63039953,15.23999951,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1473,1,2022,8,5,SPGR_HR,CS17,NA,NA,0.538,25.00636,-80.37615,3603970,Upper Keys,11,Forereef,4,Unprotected,0,NA,0,CD4,15.84959949,17.06879945,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1475,1,2022,8,2,SPGR_HR,CS15,NA,NA,0.616666667,24.95405,-80.45296,3535393,Mid-Upper Keys Transition,10,Forereef,4,Conch_RO,8,NA,1,CD3,15.23999951,16.15439948,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1487,1,2022,8,1,ISOL_LR,CS01,NA,NA,0.123333333,24.94943,-80.55353,3528318,Mid-Upper Keys Transition,10,Inshore,1,Unprotected,0,NA,0,CD0,3.352799893,3.657599883,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1491,1,2022,8,2,ISOL_LR,CS01,NA,NA,0.073333333,25.33355,-80.22532,3949684,Biscayne,12,Inshore,1,Unprotected,0,NA,0,CD0,4.571999854,4.571999854,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1502,1,2022,8,4,ISOL_HR,CS03,NA,NA,0.493333333,25.04403,-80.40663,3651308,Upper Keys,11,Mid Channel,2,Unprotected,0,NA,0,CD0,3.047999902,3.962399873,8,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
FLK,1541,1,2022,7,12,ISOL_HR,CS03,NA,NA,0.389333333,24.481,-81.93072,1978128,Lower Keys,8,Mid Channel,2,Unprotected,0,NA,0,CD0,8.839199717,9.143999707,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
