YEAR,COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
2024,ORB ANNU,MIR_GRP,CFK04,77,3,0,0
2024,ORB FAVE,MIR_GRP,CFK04,77,3,0,0
2024,ORB FRAN,MIR_GRP,CFK04,77,3,0,0
2024,OTH CORA,MIR_GRP,CFK04,77,3,0,0
2024,OTH SPE.,MIR_GRP,CFK04,77,3,0.00667,0.05641
2024,PAL SPE.,MIR_GRP,CFK04,77,3,0,0
2024,PEY SPE.,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,POR ASTR,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,POR DIVA,MIR_GRP,CFK04,77,3,0,0
2024,POR PORI,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,POR SPE.,MIR_GRP,CFK04,77,3,0,0
2024,PSE CLIV,MIR_GRP,CFK04,77,3,0,0
2024,PSE STRI,MIR_GRP,CFK04,77,3,0,0
2024,RAM SPE.,MIR_GRP,CFK04,77,3,0,0
2024,RHO CRUS,MIR_GRP,CFK04,77,3,0.03333,0.12443
2024,SID RADI,MIR_GRP,CFK04,77,3,0,0
2024,SID SIDE,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,SOL BOUR,MIR_GRP,CFK04,77,3,0,0
2024,SOL SPE.,MIR_GRP,CFK04,77,3,0,0
2024,SPO OTHE,MIR_GRP,CFK04,77,3,0.02667,0.11168
2024,STE INTE,MIR_GRP,CFK04,77,3,0,0
2024,TUR FREE,MIR_GRP,CFK04,77,3,0,0
2024,TUR SEDI,MIR_GRP,CFK04,77,3,0.56667,0.3435
2022,ACR CERV,MIR_GRP,CFK05,202,24,0,0
2022,ACR PALM,MIR_GRP,CFK05,202,24,0.00167,0.00798
2022,AGA AGAR,MIR_GRP,CFK05,202,24,0.00375,0.01196
2022,AGA HUMI,MIR_GRP,CFK05,202,24,0,0
2022,AGA LAMA,MIR_GRP,CFK05,202,24,0,0
2022,AGA SPE.,MIR_GRP,CFK05,202,24,0,0
2022,BAR SUB.,MIR_GRP,CFK05,202,24,0.01375,0.02279
2022,CLI SPE.,MIR_GRP,CFK05,202,24,0.00208,0.00892
2022,COL NATA,MIR_GRP,CFK05,202,24,0,0
2022,CYA SPE.,MIR_GRP,CFK05,202,24,0.00375,0.01196
2022,DIC SPE.,MIR_GRP,CFK05,202,24,0.03375,0.03535
2022,DIC STOK,MIR_GRP,CFK05,202,24,4.2e-4,0.00399
2022,DIP LABY,MIR_GRP,CFK05,202,24,0,0
2022,DIP SPE.,MIR_GRP,CFK05,202,24,0,0
2022,EUS FAST,MIR_GRP,CFK05,202,24,0,0
2022,GOR ENCR,MIR_GRP,CFK05,202,24,0,0
2022,GOR GORG,MIR_GRP,CFK05,202,24,0.04083,0.03874
2022,HAL SPE.,MIR_GRP,CFK05,202,24,0.02583,0.03105
2022,HEL CUCU,MIR_GRP,CFK05,202,24,0,0
2022,ISO SINU,MIR_GRP,CFK05,202,24,0,0
2022,LOB SPE.,MIR_GRP,CFK05,202,24,0,0
2022,MAC CALC,MIR_GRP,CFK05,202,24,0,0
